Pair,Date,M1_Additions,M2_Additions,M1_deletions,M2_deletions,Member_1,Member_2,Total
2,2020-04-30,9.0,0.0,9.0,9.0,18.0,9.0,27.0
2,2020-05-14,44.0,62.0,37.0,37.0,81.0,99.0,180.0
2,2020-05-06,34.0,0.0,20.0,20.0,54.0,20.0,74.0
2,2020-05-05,0.0,30.0,0.0,0.0,0.0,30.0,30.0
2,2020-05-13,44.0,41.0,41.0,41.0,85.0,82.0,167.0
2,2020-05-02,44.0,6.0,4.0,4.0,48.0,10.0,58.0
2,2020-05-04,24.0,0.0,15.0,15.0,39.0,15.0,54.0
2,2020-05-03,0.0,17.0,0.0,0.0,0.0,17.0,17.0
3,2020-05-12,55.0,29.0,41.0,41.0,96.0,70.0,166.0
3,2020-05-11,39.0,39.0,11.0,11.0,50.0,50.0,100.0
3,2020-05-10,66.0,32.0,0.0,0.0,66.0,32.0,98.0
3,2020-05-07,31.0,0.0,4.0,4.0,35.0,4.0,39.0
3,2020-05-13,138.0,4.0,64.0,64.0,202.0,68.0,270.0
3,2020-05-06,23.0,22.0,5.0,5.0,28.0,27.0,55.0
3,2020-05-04,20.0,0.0,20.0,20.0,40.0,20.0,60.0
3,2020-05-05,19.0,14.0,4.0,4.0,23.0,18.0,41.0
4,2020-05-06,45.0,18.0,49.0,49.0,94.0,67.0,161.0
4,2020-05-14,0.0,22.0,0.0,0.0,0.0,22.0,22.0
4,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-05-04,10.0,7.0,0.0,0.0,10.0,7.0,17.0
4,2020-05-05,34.0,13.0,10.0,10.0,44.0,23.0,67.0
4,2020-05-13,49.0,52.0,19.0,19.0,68.0,71.0,139.0
5,2020-05-10,72.0,23.0,19.0,19.0,91.0,42.0,133.0
5,2020-05-04,21.0,32.0,4.0,4.0,25.0,36.0,61.0
5,2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-05-07,7.0,25.0,6.0,6.0,13.0,31.0,44.0
6,2020-05-12,0.0,63.0,0.0,0.0,0.0,63.0,63.0
6,2020-05-14,22.0,40.0,7.0,7.0,29.0,47.0,76.0
7,2020-05-02,12.0,23.0,11.0,11.0,23.0,34.0,57.0
7,2020-05-04,41.0,0.0,17.0,17.0,58.0,17.0,75.0
7,2020-05-07,56.0,38.0,31.0,31.0,87.0,69.0,156.0
7,2020-05-06,0.0,19.0,0.0,0.0,0.0,19.0,19.0
7,2020-05-05,0.0,32.0,0.0,0.0,0.0,32.0,32.0
8,2020-05-04,24.0,22.0,10.0,10.0,34.0,32.0,66.0
8,2020-05-14,0.0,50.0,0.0,37.0,0.0,87.0,87.0
8,2020-05-12,0.0,31.0,0.0,5.0,0.0,36.0,36.0
8,2020-05-07,41.0,42.0,7.0,7.0,48.0,49.0,97.0
8,2020-05-06,43.0,33.0,10.0,10.0,53.0,43.0,96.0
9,2020-05-06,0.0,8.0,0.0,0.0,0.0,8.0,8.0
9,2020-04-30,24.0,29.0,16.0,16.0,40.0,45.0,85.0
9,2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-05-11,86.0,9.0,64.0,64.0,150.0,73.0,223.0
9,2020-05-08,75.0,17.0,18.0,18.0,93.0,35.0,128.0
9,2020-05-07,0.0,9.0,0.0,0.0,0.0,9.0,9.0
9,2020-05-04,43.0,52.0,12.0,12.0,55.0,64.0,119.0
9,2020-05-01,28.0,0.0,12.0,12.0,40.0,12.0,52.0
10,2020-05-04,12.0,13.0,12.0,12.0,24.0,25.0,49.0
10,2020-05-05,11.0,10.0,6.0,6.0,17.0,16.0,33.0
10,2020-05-08,8.0,0.0,2.0,2.0,10.0,2.0,12.0
10,2020-05-12,40.0,42.0,8.0,8.0,48.0,50.0,98.0
10,2020-05-13,30.0,0.0,64.0,64.0,94.0,64.0,158.0
10,2020-05-17,0.0,53.0,0.0,0.0,0.0,53.0,53.0
10,2020-05-07,24.0,0.0,18.0,18.0,42.0,18.0,60.0
11,2020-04-29,6.0,0.0,6.0,6.0,12.0,6.0,18.0
11,2020-04-30,12.0,9.0,12.0,12.0,24.0,21.0,45.0
11,2020-05-02,21.0,0.0,2.0,2.0,23.0,2.0,25.0
11,2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-05-11,12.0,15.0,4.0,10.0,16.0,25.0,41.0
11,2020-05-12,74.0,0.0,32.0,32.0,106.0,32.0,138.0
11,2020-05-13,103.0,0.0,27.0,27.0,130.0,27.0,157.0
11,2020-05-14,247.0,0.0,72.0,72.0,319.0,72.0,391.0
11,2020-05-15,485.0,0.0,158.0,158.0,643.0,158.0,801.0
11,2020-05-16,5.0,0.0,4.0,4.0,9.0,4.0,13.0
12,2020-05-07,72.0,18.0,11.0,11.0,83.0,29.0,112.0
12,2020-05-11,23.0,0.0,28.0,28.0,51.0,28.0,79.0
12,2020-05-14,44.0,18.0,105.0,105.0,149.0,123.0,272.0
12,2020-05-13,18.0,45.0,0.0,0.0,18.0,45.0,63.0
12,2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-30,0.0,15.0,0.0,0.0,0.0,15.0,15.0
12,2020-05-02,30.0,30.0,28.0,28.0,58.0,58.0,116.0
12,2020-05-12,20.0,35.0,11.0,11.0,31.0,46.0,77.0
13,2020-05-04,21.0,23.0,20.0,20.0,41.0,43.0,84.0
13,2020-05-06,0.0,24.0,0.0,0.0,0.0,24.0,24.0
13,2020-05-08,0.0,115.0,0.0,0.0,0.0,115.0,115.0
13,2020-05-09,0.0,36.0,0.0,0.0,0.0,36.0,36.0
13,2020-05-11,167.0,0.0,93.0,93.0,260.0,93.0,353.0
13,2020-05-12,17.0,290.0,2.0,2.0,19.0,292.0,311.0
13,2020-05-13,0.0,28.0,0.0,0.0,0.0,28.0,28.0
13,2020-05-14,0.0,10.0,0.0,0.0,0.0,10.0,10.0
13,2020-05-05,16.0,24.0,11.0,11.0,27.0,35.0,62.0
14,2020-05-12,23.0,0.0,7.0,7.0,30.0,7.0,37.0
14,2020-05-13,0.0,68.0,0.0,0.0,0.0,68.0,68.0
14,2020-05-05,0.0,25.0,0.0,0.0,0.0,25.0,25.0
14,2020-05-06,47.0,86.0,15.0,15.0,62.0,101.0,163.0
14,2020-05-14,0.0,29.0,0.0,0.0,0.0,29.0,29.0
14,2020-05-04,16.0,25.0,9.0,9.0,25.0,34.0,59.0
14,2020-05-07,0.0,30.0,0.0,0.0,0.0,30.0,30.0
15,2020-05-07,25.0,8.0,8.0,8.0,33.0,16.0,49.0
15,2020-05-01,5.0,0.0,5.0,5.0,10.0,5.0,15.0
15,2020-05-11,0.0,39.0,0.0,0.0,0.0,39.0,39.0
15,2020-05-04,31.0,64.0,16.0,16.0,47.0,80.0,127.0
15,2020-05-15,24.0,0.0,4.0,4.0,28.0,4.0,32.0
15,2020-05-14,74.0,92.0,35.0,35.0,109.0,127.0,236.0
15,2020-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-05-06,10.0,0.0,3.0,3.0,13.0,3.0,16.0
15,2020-05-05,0.0,33.0,0.0,0.0,0.0,33.0,33.0
