Pair,Date,Member_1,Member_2,Total
31,2020-05-05,43993,0,43993
31,2020-05-12,0,167,167
31,2020-05-14,0,275,275
32,2020-05-12,20,0,20
32,2020-05-02,22210,0,22210
32,2020-05-05,0,22,22
32,2020-05-06,61,12,73
32,2020-05-07,1192,0,1192
33,2020-05-03,293,0,293
33,2020-05-04,0,2,2
33,2020-05-11,70,144,214
33,2020-05-01,21985,21975,43960
33,2020-05-12,66591,0,66591
33,2020-05-14,0,22238,22238
34,2020-04-30,21230,0,21230
34,2020-05-04,0,63,63
34,2020-05-05,166,87,253
34,2020-05-07,556,78,634
34,2020-05-10,192,873,1065
34,2020-05-12,79,664,743
34,2020-05-14,0,1290,1290
34,2020-05-01,0,80,80
34,2020-05-09,13,0,13
35,2020-05-13,2877,0,2877
35,2020-04-30,18,0,18
35,2020-05-05,43224,69,43293
35,2020-05-06,2435,0,2435
36,2020-05-04,21184,45,21229
36,2020-05-05,62,25,87
36,2020-05-06,112,49,161
36,2020-05-12,30,3,33
38,2020-05-06,164,86,250
38,2020-05-15,111,64,175
38,2020-05-14,109,0,109
40,2020-05-05,62,118,180
40,2020-05-11,191,125,316
40,2020-04-30,21559,0,21559
40,2020-05-04,457,0,457
40,2020-05-06,44042,56,44098
40,2020-05-07,98,72,170
40,2020-05-08,37,124,161
40,2020-05-12,45,0,45
40,2020-05-13,1252,44138,45390
40,2020-05-14,1130,0,1130
41,2020-05-12,22103,0,22103
41,2020-05-07,21472,0,21472
41,2020-05-05,30,128,158
41,2020-05-04,162,76,238
41,2020-05-06,0,22061,22061
41,2020-05-13,69,0,69
41,2020-05-14,79,965,1044
42,2020-05-03,86,86,172
42,2020-05-01,54467,16983,71450
42,2020-05-08,27,22,49
42,2020-05-13,362,23648,24010
42,2020-05-11,5,228,233
42,2020-04-30,8,0,8
43,2020-05-04,33,22323,22356
43,2020-05-06,38,64,102
43,2020-05-13,221,103,324
43,2020-05-14,273,132,405
44,2020-05-03,31,0,31
44,2020-05-06,43,0,43
44,2020-05-13,54,0,54
44,2020-05-04,3,14,17
44,2020-05-15,43,119,162
44,2020-05-02,0,26,26
44,2020-05-16,21909,0,21909
44,2020-05-01,43139,21233,64372
45,2020-05-10,0,156,156
45,2020-05-01,132,0,132
45,2020-05-02,7,0,7
45,2020-05-03,145,0,145
45,2020-05-06,0,22,22
45,2020-05-07,302,0,302
45,2020-05-08,93,121,214
46,2020-05-14,114,0,114
46,2020-05-06,21335,952,22287
47,2020-05-08,93,333,426
47,2020-05-09,0,274,274
47,2020-05-10,129,0,129
47,2020-05-11,20,895,915
47,2020-05-07,18,21594,21612
49,2020-05-05,21565,21562,43127
49,2020-05-06,136,85,221
49,2020-05-07,0,12,12
50,2020-05-18,81,63,144
50,2020-05-17,70,49,119
50,2020-05-15,54,0,54
50,2020-05-05,66,87,153
50,2020-05-04,21555,34,21589
51,2020-05-02,70,0,70
51,2020-05-07,2,0,2
51,2020-05-05,145,0,145
51,2020-05-04,305,73,378
51,2020-05-12,168,25,193
51,2020-05-01,22002,21916,43918
51,2020-04-30,21889,0,21889
51,2020-05-08,47,57,104
51,2020-05-10,103,0,103
53,2020-05-14,353,0,353
53,2020-04-30,21587,0,21587
53,2020-05-01,0,21613,21613
53,2020-05-06,0,347,347
53,2020-05-04,174,0,174
55,2020-05-13,2,21432,21434
55,2020-05-14,29,21826,21855
55,2020-05-07,432,0,432
55,2020-05-15,39,0,39
55,2020-05-17,43261,864,44125
55,2020-05-06,1904,22913,24817
55,2020-05-18,86,37,123
60,2020-05-01,20871,59,20930
60,2020-05-05,20914,0,20914
60,2020-05-08,21050,0,21050
60,2020-05-10,13,191,204
60,2020-05-11,64,0,64
60,2020-05-12,92,0,92
60,2020-05-15,0,20984,20984
60,2020-05-13,0,236,236
60,2020-05-14,0,56,56
