Pair,Date,M1_Additions,M2_Additions,M1_deletions,M2_deletions,Member_1,Member_2,Total
11,2020-06-03,0.0,43.0,0.0,20.0,0.0,63.0,63.0
11,2020-05-26,31.0,0.0,4.0,0.0,35.0,0.0,35.0
11,2020-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-06-09,62.0,61.0,55.0,44.0,117.0,105.0,222.0
11,2020-05-29,0.0,98.0,0.0,36.0,0.0,134.0,134.0
11,2020-06-10,0.0,10.0,0.0,2.0,0.0,12.0,12.0
11,2020-05-22,65.0,52.0,0.0,0.0,65.0,52.0,117.0
11,2020-05-25,67.0,44.0,8.0,9.0,75.0,53.0,128.0
12,2020-05-19,57.0,57.0,0.0,0.0,57.0,57.0,114.0
12,2020-05-25,12.0,80.0,6.0,4.0,18.0,84.0,102.0
12,2020-05-26,36.0,58.0,2.0,6.0,38.0,64.0,102.0
12,2020-06-02,22.0,48.0,2.0,8.0,24.0,56.0,80.0
12,2020-06-03,0.0,94.0,0.0,6.0,0.0,100.0,100.0
12,2020-06-10,251.0,72.0,209.0,12.0,460.0,84.0,544.0
12,2020-06-11,58.0,38.0,44.0,7.0,102.0,45.0,147.0
12,2020-05-21,58.0,1.0,1.0,56.0,59.0,57.0,116.0
12,2020-06-04,50.0,16.0,84.0,8.0,134.0,24.0,158.0
13,2020-06-09,0.0,64.0,0.0,57.0,0.0,121.0,121.0
13,2020-06-11,24.0,0.0,63.0,0.0,87.0,0.0,87.0
13,2020-06-07,92.0,0.0,22.0,0.0,114.0,0.0,114.0
13,2020-06-03,0.0,19.0,0.0,1.0,0.0,20.0,20.0
13,2020-05-30,156.0,0.0,19.0,0.0,175.0,0.0,175.0
13,2020-05-28,0.0,11.0,0.0,0.0,0.0,11.0,11.0
13,2020-06-10,109.0,0.0,51.0,0.0,160.0,0.0,160.0
13,2020-05-26,26.0,0.0,5.0,0.0,31.0,0.0,31.0
13,2020-05-25,17.0,52.0,52.0,0.0,69.0,52.0,121.0
13,2020-05-22,51.0,0.0,0.0,0.0,51.0,0.0,51.0
13,2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-05-27,78.0,0.0,13.0,0.0,91.0,0.0,91.0
14,2020-06-10,10.0,29.0,4.0,86.0,14.0,115.0,129.0
14,2020-06-09,156.0,42.0,91.0,37.0,247.0,79.0,326.0
